Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Alexandre,Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Richard,Bragdon,Tobique—Mactaquac,New Brunswick,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,John,Brassard,Barrie—Innisfil,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Bob,Bratina,Hamilton East—Stoney Creek,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Élisabeth,Brière,Sherbrooke,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Alexis,Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Blaine,Calkins,Red Deer—Lacombe,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Richard,Cannings,South Okanagan—West Kootenay,British Columbia,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Jim,Carr,Winnipeg South Centre,Manitoba,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Colin,Carrie,Oshawa,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Sean,Casey,Charlottetown,Prince Edward Island,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Louise,Chabot,Thérèse-De Blainville,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Bardish,Chagger,Waterloo,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Martin,Champoux,Drummond,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Louise,Charbonneau,Trois-Rivières,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Shaun,Chen,Scarborough North,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Kenny,Chiu,Steveston—Richmond East,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Laurel,Collins,Victoria,British Columbia,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,James,Cumming,Edmonton Centre,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Scot,Davidson,York—Simcoe,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Don,Davies,Vancouver Kingsway,British Columbia,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
