Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Karen,McCrimmon,Kanata—Carleton,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ken,McDonald,Avalon,Newfoundland and Labrador,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,David,McGuinty,Ottawa South,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,John,McKay,Scarborough—Guildwood,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Catherine,McKenna,Ottawa Centre,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ron,McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Greg,McLean,Calgary Centre,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Cathy,McLeod,Kamloops—Thompson—Cariboo,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Michael,McLeod,Northwest Territories,Northwest Territories,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Heather,McPherson,Edmonton Strathcona,Alberta,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Eric,Melillo,Kenora,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Alexandra,Mendès,Brossard—Saint-Lambert,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Marco,Mendicino,Eglinton—Lawrence,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Kristina,Michaud,Avignon—La Mitis—Matane—Matapédia,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Maryam,Monsef,Peterborough—Kawartha,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Rob,Moore,Fundy Royal,New Brunswick,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Marty,Morantz,Charleswood—St. James—Assiniboia—Headingley,Manitoba,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Bill,Morneau,Toronto Centre,Ontario,Liberal,2019-10-21 12:00:00 AM,2020-08-21 11:30:05 AM
,Rob,Morrison,Kootenay—Columbia,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Robert,Morrissey,Egmont,Prince Edward Island,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,John,Nater,Perth—Wellington,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Christine,Normandin,Saint-Jean,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Robert,Oliphant,Don Valley West,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Erin,O'Toole,Durham,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jeremy,Patzer,Cypress Hills—Grasslands,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Monique,Pauzé,Repentigny,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Yves,Perron,Berthier—Maskinongé,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,New Brunswick,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Louis,Plamondon,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Pierre,Poilievre,Carleton,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Marcus,Powlowski,Thunder Bay—Rainy River,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Mumilaaq,Qaqqaq,Nunavut,Nunavut,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Carla,Qualtrough,Delta,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Yasmin,Ratansi,Don Valley East,Ontario,Independent,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Alain,Rayes,Richmond—Arthabaska,Quebec,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Brad,Redekopp,Saskatoon West,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Geoff,Regan,Halifax West,Nova Scotia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Scott,Reid,Lanark—Frontenac—Kingston,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Michelle,Rempel Garner,Calgary Nose Hill,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Blake,Richards,Banff—Airdrie,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Yves,Robillard,Marc-Aurèle-Fortin,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Pablo,Rodriguez,Honoré-Mercier,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Churence,Rogers,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Sherry,Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Lianne,Rood,Lambton—Kent—Middlesex,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Anthony,Rota,Nipissing—Timiskaming,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Alex,Ruff,Bruce—Grey—Owen Sound,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jag,Sahota,Calgary Skyview,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ruby,Sahota,Brampton North,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Raj,Saini,Kitchener Centre,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Harjit S.,Sajjan,Vancouver South,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ya'ara,Saks,York Centre,Ontario,Liberal,2020-10-26 12:00:00 AM,2021-09-19 11:59:59 PM
,Darrell,Samson,Sackville—Preston—Chezzetcook,Nova Scotia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ramesh,Sangha,Brampton Centre,Ontario,Independent,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Randeep,Sarai,Surrey Centre,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Bob,Saroya,Markham—Unionville,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Simon-Pierre,Savard-Tremblay,Saint-Hyacinthe—Bagot,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Francis,Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Peter,Schiefke,Vaudreuil—Soulanges,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jamie,Schmale,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Deb,Schulte,King—Vaughan,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Kyle,Seeback,Dufferin—Caledon,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Marc,Serré,Nickel Belt,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Judy A.,Sgro,Humber River—Black Creek,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Brenda,Shanahan,Châteauguay—Lacolle,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Terry,Sheehan,Sault Ste. Marie,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Martin,Shields,Bow River,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Nelly,Shin,Port Moody—Coquitlam,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Doug,Shipley,Barrie—Springwater—Oro-Medonte,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Maninder,Sidhu,Brampton East,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Sonia,Sidhu,Brampton South,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Gagan,Sikand,Mississauga—Streetsville,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Mario,Simard,Jonquière,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Scott,Simms,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jagmeet,Singh,Burnaby South,British Columbia,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Derek,Sloan,Hastings—Lennox and Addington,Ontario,Independent,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Francesco,Sorbara,Vaughan—Woodbridge,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Gerald,Soroka,Yellowhead,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Sven,Spengemann,Mississauga—Lakeshore,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Bruce,Stanton,Simcoe North,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Warren,Steinley,Regina—Lewvan,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Gabriel,Ste-Marie,Joliette,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Mark,Strahl,Chilliwack—Hope,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Shannon,Stubbs,Lakeland,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,David,Sweet,Flamborough—Glanbrook,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Marwan,Tabbara,Kitchener South—Hespeler,Ontario,Independent,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Filomena,Tassi,Hamilton West—Ancaster—Dundas,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Luc,Thériault,Montcalm,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Alain,Therrien,La Prairie,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Rachael,Thomas,Lethbridge,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Corey,Tochor,Saskatoon—University,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Right Hon.,Justin,Trudeau,Papineau,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Denis,Trudel,Longueuil—Saint-Hubert,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ryan,Turnbull,Whitby,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Tim,Uppal,Edmonton Mill Woods,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Tony,Van Bynen,Newmarket—Aurora,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Adam,van Koeverden,Milton,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Tako,Van Popta,Langley—Aldergrove,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Dan,Vandal,Saint Boniface—Saint Vital,Manitoba,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Anita,Vandenbeld,Ottawa West—Nepean,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Adam,Vaughan,Spadina—Fort York,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Karen,Vecchio,Elgin—Middlesex—London,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Gary,Vidal,Desnethé—Missinippi—Churchill River,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Arnold,Viersen,Peace River—Westlock,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Julie,Vignola,Beauport—Limoilou,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Arif,Virani,Parkdale—High Park,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Brad,Vis,Mission—Matsqui—Fraser Canyon,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Cathay,Wagantall,Yorkton—Melville,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Chris,Warkentin,Grande Prairie—Mackenzie,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Kevin,Waugh,Saskatoon—Grasswood,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Len,Webber,Calgary Confederation,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Patrick,Weiler,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Jonathan,Wilkinson,North Vancouver,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,John,Williamson,New Brunswick Southwest,New Brunswick,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Jody,Wilson-Raybould,Vancouver Granville,British Columbia,Independent,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Alice,Wong,Richmond Centre,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jean,Yip,Scarborough—Agincourt,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Kate,Young,London West,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,David,Yurdiga,Fort McMurray—Cold Lake,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Salma,Zahid,Scarborough Centre,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Lenore,Zann,Cumberland—Colchester,Nova Scotia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Bob,Zimmer,Prince George—Peace River—Northern Rockies,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Sameer,Zuberi,Pierrefonds—Dollard,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
