KPICategory,KPIMeasure,KPIYear,KPIValue
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2007,33985
Volunteers,Number of Volunteers,2014,311
Programs,Number of Program Sessions,2010,2560
Programs,Number of Program Sessions,2014,3107
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2010,2882
Volunteers,Number of Volunteers,2001,192
Volunteers,Number of Volunteers,2006,301
Programs,Number of Program Sessions,2013,2430
Programs,Number of Program Sessions,2003,501
Awareness,Number of County Residents coming to Library Booths,2010,5462
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2006,2041
Volunteers,Number of Volunteers,2005,344
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2015,91371
Programs,Number of Program Sessions,2005,551
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2013,2032
Programs,Number of Program Sessions,2006,637
Programs,Number of Program Sessions,2012,2818
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2004,19910
Volunteers,Number of Volunteers,2009,364
Services,"Printing, faxing, scanning, copying resumes (Career Resource Centre)",2011,6000
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2014,54356
Programs,Number of Program Sessions,2011,4944
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2011,41692
Programs,Number of Program Sessions,2007,834
Borrowing,"Ebooks, Emagazines, Emovies, Eaudiobooks Borrowed",2014,95489
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2009,2798
Awareness,Number of County Residents coming to Library Booths,2015,14845
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2001,8683
Borrowing,"Ebooks, Emagazines, Emovies, Eaudiobooks Borrowed",2011,6327
Services,"Printing, faxing, scanning, copying resumes (Career Resource Centre)",2014,19095
Awareness,Number of County Residents coming to Library Booths,2014,17510
Programs,Number of Program Sessions,2002,496
Volunteers,Number of Volunteers,2012,247
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2008,3821
Services,"Printing, faxing, scanning, copying resumes (Career Resource Centre)",2013,19045
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2007,2797
Volunteers,Number of Volunteers,2007,254
Borrowing,"Ebooks, Emagazines, Emovies, Eaudiobooks Borrowed",2013,56802
Borrowing,"Ebooks, Emagazines, Emovies, Eaudiobooks Borrowed",2015,117510
Services,"Printing, faxing, scanning, copying resumes (Career Resource Centre)",2012,10626
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2015,1586
Volunteers,Number of Volunteers,2003,226
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2013,40715
Volunteers,Number of Volunteers,2002,208
Borrowing,"Ebooks, Emagazines, Emovies, Eaudiobooks Borrowed",2012,32782
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2008,22955
Volunteers,Number of Volunteers,2015,278
Awareness,Number of County Residents coming to Library Booths,2009,5200
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2012,2339
Programs,Number of Program Sessions,2001,463
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2003,17012
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2009,31458
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2010,33752
Programs,Number of Program Sessions,2004,551
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2005,23235
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2002,8401
Volunteers,Number of Volunteers,2010,277
Volunteers,Number of Volunteers,2008,271
Awareness,"Number of Awareness Sessions (Trade Fair, Art Expo, baby fair, etc.)",2013,124
Awareness,"Number of Awareness Sessions (Trade Fair, Art Expo, baby fair, etc.)",2010,215
Awareness,"Number of Awareness Sessions (Trade Fair, Art Expo, baby fair, etc.)",2012,146
Awareness,"Number of Awareness Sessions (Trade Fair, Art Expo, baby fair, etc.)",2011,143
Awareness,"Number of Awareness Sessions (Trade Fair, Art Expo, baby fair, etc.)",2009,142
Awareness,"Number of Awareness Sessions (Trade Fair, Art Expo, baby fair, etc.)",2014,159
Awareness,"Number of Awareness Sessions (Trade Fair, Art Expo, baby fair, etc.)",2015,137
Training,Informal Technology Training Sessions,2016,28638
Visits,Electronic - Visits to the Catalogue on the Web,2016,613043
Awareness,"Number of Awareness Sessions (Trade Fair, Art Expo, baby fair, etc.)",2016,176
Volunteers,Volunteer Hours,2016,3405
Collections,Unique Titles Owned by the Library,2016,180807
Library use,Library Cards Purchased,2016,19117
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2016,440
Services,"Printing, faxing, scanning, copying resumes (Career Resource Centre)",2016,28511
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2016,859
Visits,Patrons visiting the Bookmobile,2016,26253
Borrowing,Items Borrowed from Fort Saskatchewan,2016,27122
Borrowing,Circulation of Library Materials Borrowed Per Capita,2016,15.57
Programs,Program Participants,2016,67634
Population,Population Served,2016,98044
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2016,91993
Awareness,Number of County Residents coming to Library Booths,2016,15097
Collections,Electronic items Owned or Licensed by the Library,2016,16563
Visits,Electronic - Web Site Visits,2016,399095
Collections,Items Processed,2016,37851
Collections,Items Ordered,2016,34894
Training,Formal Technology Training Sessions - number of session,2016,319
Programs,Number of Program Sessions,2016,3508
Internet,Use of wireless internet,2016,82532
Borrowing,Laptop Loans,2016,18
Training,Formal Technology Training Sessions - number trained,2016,320
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2016,248436
Internet,Patron Use of Public Computers,2016,52041
Borrowing,"Ebooks, Emagazines, Emovies, Eaudiobooks Borrowed",2016,138313
Open days,Days Open,2016,350
Borrowing,Items Borrowed from Other Libraries,2016,3920
Volunteers,Number of Volunteers,2016,284
Answers,Reference Transactions via the Internet,2016,1749
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2016,69943
Borrowing,Physical Material Borrowed (Central and Bookmobile),2016,1296728
Answers,Staff-Mediated Customer Service/ Information Transactions,2016,56874
Borrowing,Total Library Materials Used,2016,1527034
Borrowing,Items Lent to Other Libraries,2016,2689
Borrowing,Materials Used In-House,2016,220608
Library use,Number of people reporting use of Library (County Survey),2016,66572
Answers,Reference Questions/Transactions - Total,2016,100330
Collections,Items Received,2016,36966
Borrowing,Items Lent to Fort Saskatchewan,2016,23649
Collections,Items Catalogued,2016,16910
Collections,Online/Electronic Magazines/Newspapers (Zinio),2016,129
Visits,Patrons visiting Central Library,2016,546908
Collections,Ebooks and Eaudiobooks owned/licensed by the Library,2016,15427
Visits,Total Patron Visits,2016,1585299
Collections,Library Materials Items Owned by the Library,2016,248393
