,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Levitating (feat. DaBaby)","Dua Lipa",1362542,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
56,"Save Your Tears","The Weeknd",1342877,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
57,"Plan A","Paulo Londra",1325346,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
58,"House of Memories","Panic! At The Disco",1324911,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
59,505,"Arctic Monkeys",1320465,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
60,"With you",Jimin,1307821,https://open.spotify.com/track/2gzhQaCTeNgxpeB2TPllyY
61,"Happier Than Ever","Billie Eilish",1305190,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
62,"In The Stars","Benson Boone",1300191,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn
63,"deja vu","Olivia Rodrigo",1287125,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
64,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",1259064,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
65,Bones,"Imagine Dragons",1256253,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
66,"Angel Baby","Troye Sivan",1243788,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc
67,Pantysito,Alejo,1208137,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
68,DÁKITI,"Bad Bunny",1203731,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
69,"No Role Modelz","J. Cole",1185976,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
70,Flowers,"Lauren Spencer-Smith",1179996,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
71,"When You're Gone","Shawn Mendes",1179689,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6
72,"MONTERO (Call Me By Your Name)","Lil Nas X",1179042,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
73,"Do It To It",ACRAZE,1159556,https://open.spotify.com/track/20on25jryn53hWghthWWW3
74,Medallo,Blessd,1159482,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
75,"Without Me",Eminem,1150480,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
76,"she's all i wanna be","Tate McRae",1147929,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
77,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1145806,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
78,Softcore,"The Neighbourhood",1141887,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
79,"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",1133501,https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS
